MaterialID,MTitle,MShared,MaterialType,MDCGSID_ENname
100060,Short Fable: Nasreddin and the Pot,Adult and Non-share,Adult,People and Relationships/**/Everyday Language
100180,Short Story: The Best Accountant,Share,Adult,"Business, Industry and Finance/**/Training, Education and School/**/People and Relationships/**/Careers and Jobs/**/Everyday Language"
100512,Lifestyle: Married Couples,Share,Adult,Fashion/**/People and Relationships/**/Shopping and Style
100581,Names of Occupations from Verbs,Adult and Non-share,Adult,Everyday Language
100779,Grammar:  HAVE TO and MUST,Adult and Non-share,Adult,Everyday Language
100848,Short Dialogue: Asking About Restaurants,Adult and Non-share,Adult,Fashion/**/Shopping and Style/**/Everyday Language/**/Food and Cooking
100913,Short Story: The Package,Share,Adult,People and Relationships/**/Everyday Language
100961,Verb Power,Share,Adult,Everyday Language
101025,Phrasal Verb Vocabulary Exercise: The Break-In,Adult and Non-share,Adult,"Housing, Home and Community/**/Housing, Home, and Community/**/Everyday Language"
101047,How Much Is It,Adult and Non-share,Adult,Fashion/**/Shopping and Style
101096,Tarzan,Adult and Non-share,Adult,"Culture, History, and Religion/**/History & Culture/**/Fun/Interesting stuff/**/Art & Entertainment/**/Arts and Entertainment"
101197,This and That,Adult and Non-share,Adult,Everyday Language
101320,Short Article:  Miracle Musician,Adult and Non-share,Adult,"Health, Fitness and Medicine/**/Health & Medicine/**/People and Relationships/**/Art & Entertainment/**/Arts and Entertainment"
101390,Present Continuous Tense: Chores,Adult and Non-share,Adult,Everyday Language
101421,Dialogue:  Shopping For Groceries,Share,Adult,Fashion/**/Shopping and Style/**/Everyday Language/**/Food and Cooking
101450,Telling The Time,Share,Adult,Everyday Language
101479,Pronunciation:  Tongue Twisters,Adult and Non-share,Adult,"Fun/Interesting stuff/**/Training, Education and School"
101510,Vocabulary Practice:  Jobs,Adult and Non-share,Adult,Everyday Language
101532,Verbs as Adjectives,Adult and Non-share,Adult,Everyday Language
101694,Akebono,Share,Adult,Sport/**/Sports and Recreation
101695,Animal Stars,Adult and Non-share,Adult,Art & Entertainment/**/Fun/Interesting stuff/**/Plants and Animal/**/Arts and Entertainment/**/Everyday Language
101757,Presentation Points,Share,Adult,"Careers and Jobs/**/Business, Industry and Finance"
101794,Travel Talk - Checking in at the Airport,Share,Adult,Travel and Transportation/**/Everyday Language
101800,Sleep,Adult and Non-share,Adult,"Health, Fitness and Medicine/**/Health & Medicine"
101816,The Twins,Adult and Non-share,Adult,"Fun/Interesting stuff/**/People and Relationships/**/Culture, History, and Religion/**/History & Culture"
101818,Idioms to Go,Adult and Non-share,Adult,Everyday Language
